
1279146,45,176,-114
1279187,37,203,-114
1279228,37,180,-99
1279268,48,194,-116
1279308,29,194,-116
1279348,17,182,-110
1279388,37,203,-110
1279428,33,213,-110
1279468,-33,217,-107
1279508,-15,230,-107
1279548,-33,224,-114
1279587,-46,245,-114
1279627,11,263,-108
1279667,7,198,-116
1279707,31,213,-116
1279747,71,182,-115
1279787,83,184,-115
1279828,102,194,-121
1279869,175,164,-122
1279909,242,268,-122
1279949,260,210,-123
1279989,263,244,-123
1280029,160,177,-107
1280069,167,188,-105
1280109,166,180,-105
1280148,84,201,-104
1280187,67,245,-104
1280226,70,224,-97
1280266,1,234,-97
1280306,-24,199,-101
1280346,13,218,-108
1280386,-25,233,-108
1280426,-41,204,-110
1280466,-40,207,-110
1280506,-59,245,-104
1280546,-93,204,-109
1280586,-124,195,-109
1280627,-80,205,-114
1280667,-64,150,-114
1280707,-121,180,-119
1280747,-17,181,-122
1280786,-12,219,-122
1280825,-14,189,-128
1280865,44,208,-128
1280905,49,244,-129
1280945,91,221,-122
1280986,12,220,-122
1281026,38,238,-115
1281066,20,233,-115
1281106,36,218,-101
1281146,50,174,-104
1281186,54,200,-104
1281226,26,172,-109
1281266,40,168,-109
1281307,37,195,-107
1281347,45,178,-102
1281387,23,182,-102
1281426,33,236,-111
1281465,18,199,-111
1281505,-5,206,-112
1281545,-2,209,-112
1281585,225,180,-111
1281626,27,301,-103
1281667,152,245,-103
1281707,75,414,-83
1281747,178,167,-83
1281787,44,141,-98
1281827,141,261,-95
1281867,120,79,-95
1281908,32,206,-88
1281948,49,264,-88
1281988,35,249,-81
1282028,84,219,-92
1282067,15,202,-92
1282106,48,205,-94
1282147,82,198,-94
1282187,39,280,-96
1282227,61,204,-101
1282267,42,206,-101
1282307,14,218,-96
1282347,24,212,-96
1282387,-9,195,-101
1282428,-30,199,-96
1282468,-37,196,-96
1282508,-59,224,-97
1282548,-45,174,-97
1282588,-9,225,-103
1282628,-9,188,-93
1282669,0,228,-93
1282708,58,212,-106
1282747,88,181,-106
1282786,107,275,-108
1282826,154,203,-108
1282866,177,216,-111
1282906,198,138,-112
1282946,220,167,-112
1282986,200,206,-106
1283027,185,193,-106
1283068,152,208,-119
1283108,105,208,-106
1283148,66,209,-106
1283188,56,202,-112
1283228,51,210,-112
1283268,9,213,-111
1283308,-32,233,-113
1283347,17,234,-113
1283387,-51,235,-116
1283428,-82,243,-116
1283468,-35,226,-104
1283508,-63,199,-117
1283548,-68,173,-117
1283588,-80,176,-117
1283628,-79,180,-117
1283668,-46,193,-118
1283708,-27,185,-118
1283749,-19,197,-118
1283789,32,238,-124
1283829,43,222,-124
1283869,48,225,-114
1283909,37,252,-112
1283949,59,185,-112
1283988,31,189,-98
1284027,57,171,-98
1284068,32,229,-95
1284108,46,162,-91
1284148,33,211,-91
1284188,46,188,-89
1284228,52,163,-89
1284268,17,199,-87
1284309,39,173,-87
1284349,62,230,-99
1284389,32,190,-98
1284429,24,195,-98
1284469,37,217,-101
1284510,0,197,-101
1284550,9,208,-113
1284590,29,212,-109
1284630,-12,213,-109
1284669,-28,209,-112
1284708,-13,226,-112
1284748,-21,225,-116
1284788,-26,222,-111
1284829,34,194,-111
1284870,71,207,-108
1284910,96,190,-108
1284950,102,173,-119
1284990,149,175,-121
1285030,203,207,-121
1285070,191,181,-124
1285110,213,183,-124
1285150,165,181,-129
1285190,138,214,-126
1285230,146,224,-126
1285270,154,207,-121
1285310,44,225,-121
1285350,14,204,-121
1285390,16,188,-122
1285430,-4,186,-122
1285470,7,197,-133
1285510,-18,217,-133
1285550,-71,199,-122
1285590,-27,228,-130
1285631,-29,213,-130
1285671,-50,207,-123
1285711,-60,191,-123
1285751,-75,189,-136
1285791,-79,195,-136
1285831,-43,175,-136
1285871,-46,192,-122
1285911,-21,196,-122
1285952,50,221,-129
1285992,38,246,-129
1286031,22,241,-122
1286071,11,204,-121
1286111,49,249,-121
1286151,78,207,-113
1286191,47,274,-113
1286231,41,206,-118
1286272,57,191,-120
1286313,51,174,-120
1286353,44,195,-123
1286393,42,199,-123
1286433,48,177,-122
1286473,40,190,-129
1286513,37,185,-129
1286553,36,190,-133
1286594,41,220,-133
1286635,36,213,-129
1286674,24,222,-121
1286713,21,212,-121
1286753,6,201,-127
1286793,-5,219,-127
1286833,-34,214,-125
1286873,-8,243,-120
1286914,-11,224,-120
1286954,-17,206,-119
1286994,27,161,-119
1287034,55,208,-110
1287074,99,180,-110
1287114,101,238,-110
1287154,143,174,-120
1287194,188,220,-120
1287234,227,214,-98
1287275,202,206,-111
1287315,179,164,-111
1287354,193,145,-104
1287394,157,230,-104
1287434,112,189,-101
1287474,46,205,-96
1287514,18,224,-96
1287554,3,212,-107
1287594,-44,203,-107
1287635,28,231,-113
1287675,-9,218,-113
1287715,-25,246,-120
1287755,-17,235,-135
1287795,-59,236,-135
1287835,-138,197,-124
1287875,-66,153,-124
1287915,-90,179,-125
1287954,-79,205,-123
1287994,-72,188,-123
1288035,-51,216,-119
1288075,11,201,-119
1288115,41,195,-120
1288155,27,195,-122
1288195,-23,12,-122
1288235,72,259,-109
1288275,64,254,-109
1288316,43,295,-108
1288356,36,230,-105
1288396,20,218,-105
1288436,42,158,-107
1288476,44,185,-107
1288516,53,193,-113
1288556,49,208,-120
1288595,29,171,-120
1288635,18,170,-122
1288676,25,203,-122
1288716,25,180,-124
1288756,-3,221,-119
1288796,11,230,-119
1288836,4,221,-113
1288876,-57,244,-113
1288917,-35,244,-116
1288958,-31,216,-119
1288998,-19,244,-119
1289038,29,208,-114
1289078,70,198,-114
1289118,124,181,-112
1289158,155,199,-112
1289198,196,165,-112
1289238,216,181,-91
1289277,245,270,-91
1289317,228,146,-74
1289357,184,204,-74
1289397,155,170,-65
1289437,119,205,-56
1289477,76,242,-56
1289517,39,225,-67
1289557,-39,224,-67
1289598,21,233,-72
1289638,40,201,-83
1289678,7,224,-83
1289718,-14,192,-95
1289758,-34,208,-95
1289798,-83,212,-110
1289839,-72,222,-116
1289879,-75,176,-116
1289918,-40,211,-117
1289957,-51,194,-117
1289997,-65,180,-116
1290037,-27,192,-131
1290077,-4,212,-131
1290117,28,169,-129
1290158,50,228,-129
1290199,49,266,-120
1290239,59,215,-122
1290279,65,219,-122
1290319,40,205,-124
1290359,13,257,-124
1290399,45,221,-123
1290439,40,179,-124
1290480,32,201,-124
1290521,36,198,-126
1290560,44,174,-126
1290599,29,188,-131
1290638,32,187,-131
1290678,41,195,-139
1290718,46,185,-138
1290758,40,200,-138
1290798,40,213,-131
1290839,9,200,-131
1290879,15,201,-124
1290919,4,218,-128
1290959,-16,216,-128
1290999,-45,198,-125
1291039,-31,226,-125
1291079,-6,217,-124
1291120,-9,224,-120
1291160,30,198,-120
1291200,62,177,-126
1291239,105,196,-126
1291278,153,176,-123
1291318,195,204,-123
1291358,239,181,-123
1291398,2,157,-122
1291438,234,179,-122
1291479,148,223,-135
1291520,154,170,-133
1291560,133,223,-133
1291600,63,230,-130
